time,y_reported,y_clean,alpha_hat,u_out
                  10,          0,          0,          0,          0
                  20,          0,          0,          0,          0
                  30,          0,          0,          0,          0
                  40,          0,          0,          0,          0
                  50,          0,          0,          0,          0
                  60,          0,          0,          0,          0
                  70,          0,          0,          0,          0
                  80,          0,          0,          0,          0
                  90,          0,          0,          0,          0
                 100,          0,          0,          0,          0
                 110,          0,          0,          0,          0
                 120,          0,          0,          0,          0
                 130,          0,          0,          0,          0
                 140,          0,          0,          0,          0
                 150,          0,          0,          0,          0
                 160,          0,          0,          0,          0
                 170,          0,          0,          0,          0
                 180,          0,          0,          0,          0
                 190,          0,          0,          0,          0
                 200,          0,          0,          0,          0
                 210,          0,          0,          0,          0
                 220,          0,          0,          0,          0
                 230,          0,          0,          0,          0
                 240,          0,          0,          0,          0
                 250,          0,          0,          0,          0
                 260,          0,          0,          0,          0
                 270,          0,          0,          0,          0
                 280,          0,          0,          0,          0
                 290,          0,          0,          0,          0
                 300,          0,          0,          0,          0
                 310,          0,          0,          0,          0
                 320,          0,          0,          0,          0
                 330,          0,          0,          0,          0
                 340,          0,          0,          0,          0
                 350,          0,          0,          0,          0
                 360,          0,          0,          0,          0
                 370,          0,          0,          0,          0
                 380,          0,          0,          0,          0
                 390,          0,          0,          0,          0
                 400,          0,          0,          0,          0
                 410,          0,          0,          0,          0
                 420,          0,          0,          0,          0
                 430,          0,          0,          0,          0
                 440,          0,          0,          0,          0
                 450,          0,          0,          0,          0
                 460,          0,          0,          0,          0
                 470,          0,          0,          0,          0
                 480,          0,          0,          0,          0
                 490,          0,          0,          0,          0
                 500,          0,          0,          0,          0
                 510,          0,          0,          0,          0
                 520,          0,          0,          0,          0
                 530,          0,          0,          0,          0
                 540,          0,          0,          0,          0
                 550,          0,          0,          0,          0
                 560,          0,          0,          0,          0
                 570,          0,          0,          0,          0
                 580,          0,          0,          0,          0
                 590,          0,          0,          0,          0
                 600,          0,          0,          0,          0
                 610,          0,          0,          0,          0
                 620,          0,          0,          0,          0
                 630,          0,          0,          0,          0
                 640,          0,          0,          0,          0
                 650,          0,          0,          0,          0
                 660,          0,          0,          0,          0
                 670,          0,          0,          0,          0
                 680,          0,          0,          0,          0
                 690,          0,          0,          0,          0
                 700,          0,          0,          0,          0
                 710,          0,          0,          0,          0
                 720,          0,          0,          0,          0
                 730,          0,          0,          0,          0
                 740,          0,          0,          0,          0
                 750,          0,          0,          0,          0
                 760,          0,          0,          0,          0
                 770,          0,          0,          0,          0
                 780,          0,          0,          0,          0
                 790,          0,          0,          0,          0
                 800,          0,          0,          0,          0
                 810,          0,          0,          0,          0
                 820,          0,          0,          0,          0
                 830,          0,          0,          0,          0
                 840,          0,          0,          0,          0
                 850,          0,          0,          0,          0
                 860,          0,          0,          0,          0
                 870,          0,          0,          0,          0
                 880,          0,          0,          0,          0
                 890,          0,          0,          0,          0
                 900,          0,          0,          0,          0
                 910,          0,          0,          0,          0
                 920,          0,          0,          0,          0
                 930,          0,          0,          0,          0
                 940,          0,          0,          0,          0
                 950,          0,          0,          0,          0
                 960,          0,          0,          0,          0
                 970,          0,          0,          0,          0
                 980,          0,          0,          0,          0
                 990,          0,          0,          0,          0
                1000,          0,          0,          0,          0
                1010,          0,          0,          0,          0
                1020,          0,          0,          0,          0
                1030,          0,          0,          0,          0
                1040,          0,          0,          0,          0
                1050,          0,          0,          0,          0
                1060,          0,          0,          0,          0
                1070,          0,          0,          0,          0
                1080,          0,          0,          0,          0
                1090,          0,          0,          0,          0
                1100,          0,          0,          0,          0
                1110,          0,          0,          0,    1572864
                1120,          0,          0,          0,    1572864
                1130,        420,        420,          0,    1572864
                1140,       1159,       1159,          0,    1572864
                1150,       2140,       2140,          0,    1572864
                1160,       3306,       3306,          0,    1572864
                1170,       4612,       4612,          0,    1572864
                1180,       6024,       6024,          0,    1572864
                1190,       7517,       7517,          0,    1572864
                1200,       9071,       9071,          0,    1572864
                1210,      10672,      10672,          0,    1572864
                1220,      12308,      12308,          0,    1572864
                1230,      13971,      13971,          0,    1572864
                1240,      15654,      15654,          0,    1572864
                1250,      17353,      17353,          0,    1572864
                1260,      19063,      19063,          0,    1572864
                1270,      20782,      20782,          0,    1572864
                1280,      22508,      22508,          0,    1572864
                1290,      24239,      24239,          0,    1572864
                1300,      25973,      25973,          0,    1572864
                1310,      27710,      27710,          0,    1572864
                1320,      29449,      29449,          0,    1572864
                1330,      31190,      31190,          0,    1572864
                1340,      32932,      32932,          0,    1572864
                1350,      34675,      34675,          0,    1572864
                1360,      36418,      36418,          0,    1572864
                1370,      38161,      38161,          0,    1572864
                1380,      39905,      39905,          0,    1572864
                1390,      41649,      41649,          0,    1572864
                1400,      43393,      43393,          0,    1572864
                1410,      45137,      45137,          0,    1572864
                1420,      46881,      46881,          0,    1572864
                1430,      48625,      48625,          0,    1572864
                1440,      50368,      50368,          0,    1572864
                1450,      52111,      52111,          0,    1572864
                1460,      53854,      53854,          0,    1572864
                1470,      55597,      55597,          0,    1572864
                1480,      57340,      57340,          0,    1572864
                1490,      59082,      59082,          0,    1572864
                1500,      60824,      60824,          0,    1572864
                1510,      62566,      62566,          0,    1572864
                1520,      64308,      64308,          0,    1572864
                1530,      66050,      66050,          0,    1572864
                1540,      67791,      67791,          0,    1572864
                1550,      69532,      69532,          0,    1572864
                1560,      71273,      71273,          0,    1572864
                1570,      73014,      73014,          0,    1572864
                1580,      74754,      74754,          0,    1572864
                1590,      76494,      76494,          0,    1572864
                1600,      78234,      78234,          0,    1572864
                1610,      79974,      79974,          0,    1572864
                1620,      81713,      81713,          0,    1572864
                1630,      83452,      83452,          0,    1572864
                1640,      85191,      85191,          0,    1572864
                1650,      86930,      86930,          0,    1572864
                1660,      88668,      88668,          0,    1572864
                1670,      90406,      90406,          0,    1572864
                1680,      92144,      92144,          0,    1572864
                1690,      93882,      93882,          0,    1572864
                1700,      95620,      95620,          0,    1572864
                1710,      97357,      97357,          0,    1572864
                1720,      99094,      99094,          0,    1572864
                1730,     100831,     100831,          0,    1572864
                1740,     102568,     102568,          0,    1572864
                1750,     104304,     104304,          0,    1572864
                1760,     106040,     106040,          0,    1572864
                1770,     107776,     107776,          0,    1572864
                1780,     109512,     109512,          0,    1572864
                1790,     111247,     111247,          0,    1572864
                1800,     112982,     112982,          0,    1572864
                1810,     114717,     114717,          0,    1572864
                1820,     116452,     116452,          0,    1572864
                1830,     118187,     118187,          0,    1572864
                1840,     119921,     119921,          0,    1572864
                1850,     121655,     121655,          0,    1572864
                1860,     123389,     123389,          0,    1572864
                1870,     125123,     125123,          0,    1572864
                1880,     126856,     126856,          0,    1572864
                1890,     128589,     128589,          0,    1572864
                1900,     130322,     130322,          0,    1572864
                1910,     132055,     132055,          0,    1572864
                1920,     133787,     133787,          0,    1572864
                1930,     135519,     135519,          0,    1572864
                1940,     137251,     137251,          0,    1572864
                1950,     138983,     138983,          0,    1572864
                1960,     140714,     140714,          0,    1572864
                1970,     142445,     142445,          0,    1572864
                1980,     144176,     144176,          0,    1572864
                1990,     145907,     145907,          0,    1572864
                2000,     147638,     147638,          0,    1572864
                2010,     149368,     149368,          0,    1572864
                2020,     151098,     151098,          0,    1572864
                2030,     152828,     152828,          0,    1572864
                2040,     154558,     154558,          0,    1572864
                2050,     156287,     156287,          0,    1572864
                2060,     158016,     158016,          0,    1572864
                2070,     159745,     159745,          0,    1572864
                2080,     161474,     161474,          0,    1572864
                2090,     163202,     163202,          0,    1572864
                2100,     164930,     164930,          0,    1572864
                2110,     166658,     166658,          0,    1572864
                2120,     168386,     168386,          0,    1572864
                2130,     170114,     170114,          0,    1572864
                2140,     171841,     171841,          0,    1572864
                2150,     173568,     173568,          0,    1572864
                2160,     175295,     175295,          0,    1572864
                2170,     177022,     177022,          0,    1572864
                2180,     178748,     178748,          0,    1572864
                2190,     180474,     180474,          0,    1572864
                2200,     182200,     182200,          0,    1572864
                2210,     183926,     183926,          0,    1572864
                2220,     185651,     185651,          0,    1572864
                2230,     187376,     187376,          0,    1572864
                2240,     189101,     189101,          0,    1572864
                2250,     190826,     190826,          0,    1572864
                2260,     192550,     192550,          0,    1572864
                2270,     194274,     194274,          0,    1572864
                2280,     195998,     195998,          0,    1572864
                2290,     197722,     197722,          0,    1572864
                2300,     199446,     199446,          0,    1572864
                2310,     201169,     201169,          0,    1572864
                2320,     202892,     202892,          0,    1572864
                2330,     204615,     204615,          0,    1572864
                2340,     206338,     206338,          0,    1572864
                2350,     208060,     208060,          0,    1572864
                2360,     209782,     209782,          0,    1572864
                2370,     211504,     211504,          0,    1572864
                2380,     213226,     213226,          0,    1572864
                2390,     214947,     214947,          0,    1572864
                2400,     216668,     216668,          0,    1572864
                2410,     218389,     218389,          0,    1572864
                2420,     220110,     220110,          0,    1572864
                2430,     221831,     221831,          0,    1572864
                2440,     223551,     223551,          0,    1572864
                2450,     225271,     225271,          0,    1572864
                2460,     226991,     226991,          0,    1572864
                2470,     228711,     228711,          0,    1572864
                2480,     230430,     230430,          0,    1572864
                2490,     232149,     232149,          0,    1572864
                2500,     233868,     233868,          0,    1572864
                2510,     235587,     235587,          0,    1572864
                2520,     237305,     237305,          0,    1572864
                2530,     239023,     239023,          0,    1572864
                2540,     240741,     240741,          0,    1572864
                2550,     242459,     242459,          0,    1572864
                2560,     244177,     244177,          0,    1572864
                2570,     245894,     245894,          0,    1572864
                2580,     247611,     247611,          0,    1572864
                2590,     249328,     249328,          0,    1572864
                2600,     251045,     251045,          0,    1572864
                2610,     252761,     252761,          0,    1572864
                2620,     254477,     254477,          0,    1572864
                2630,     256193,     256193,          0,    1572864
                2640,     257909,     257909,          0,    1572864
                2650,     259624,     259624,          0,    1572864
                2660,     261339,     261339,          0,    1572864
                2670,     263054,     263054,          0,    1572864
                2680,     264769,     264769,          0,    1572864
                2690,     266484,     266484,          0,    1572864
                2700,     268198,     268198,          0,    1572864
                2710,     269912,     269912,          0,    1572864
                2720,     271626,     271626,          0,    1572864
                2730,     273340,     273340,          0,    1572864
                2740,     275053,     275053,          0,    1572864
                2750,     276766,     276766,          0,    1572864
                2760,     278479,     278479,          0,    1572864
                2770,     280192,     280192,          0,    1572864
                2780,     281904,     281904,          0,    1572864
                2790,     283616,     283616,          0,    1572864
                2800,     285328,     285328,          0,    1572864
                2810,     287040,     287040,          0,    1572864
                2820,     288752,     288752,          0,    1572864
                2830,     290463,     290463,          0,    1572864
                2840,     292174,     292174,          0,    1572864
                2850,     293885,     293885,          0,    1572864
                2860,     295596,     295596,          0,    1572864
                2870,     297306,     297306,          0,    1572864
                2880,     299016,     299016,          0,    1572864
                2890,     300726,     300726,          0,    1572864
                2900,     302436,     302436,          0,    1572864
                2910,     304145,     304145,          0,    1572864
                2920,     305854,     305854,          0,    1572864
                2930,     307563,     307563,          0,    1572864
                2940,     309272,     309272,          0,    1572864
                2950,     310981,     310981,          0,    1572864
                2960,     312689,     312689,          0,    1572864
                2970,     314397,     314397,          0,    1572864
                2980,     316105,     316105,          0,    1572864
                2990,     317813,     317813,          0,    1572864
                3000,     319520,     319520,          0,    1572864
                3010,     321227,     321227,          0,    1572864
                3020,     322934,     322934,          0,    1572864
                3030,     324641,     324641,          0,    1572864
                3040,     326347,     326347,          0,    1572864
                3050,     328053,     328053,          0,    1572864
                3060,     329759,     329759,          0,    1572864
                3070,     331465,     331465,          0,    1572864
                3080,     333171,     333171,          0,    1572864
                3090,     334876,     334876,          0,    1572864
                3100,     336581,     336581,          0,    1572864
                3110,     338286,     338286,          0,    1572864
                3120,     339991,     339991,          0,    1572864
                3130,     341695,     341695,          0,    1572864
                3140,     343399,     343399,          0,    1572864
                3150,     345103,     345103,          0,    1572864
                3160,     346807,     346807,          0,    1572864
                3170,     348510,     348510,          0,    1572864
                3180,     350213,     350213,          0,    1572864
                3190,     351916,     351916,          0,    1572864
                3200,     353619,     353619,          0,    1572864
                3210,     355322,     355322,          0,    1572864
                3220,     357024,     357024,          0,    1572864
                3230,     358726,     358726,          0,    1572864
                3240,     360428,     360428,          0,    1572864
                3250,     362130,     362130,          0,    1572864
                3260,     363831,     363831,          0,    1572864
                3270,     365532,     365532,          0,    1572864
                3280,     367233,     367233,          0,    1572864
                3290,     368934,     368934,          0,    1572864
                3300,     370634,     370634,          0,    1572864
                3310,     372334,     372334,          0,    1572864
                3320,     374034,     374034,          0,    1572864
                3330,     375734,     375734,          0,    1572864
                3340,     377434,     377434,          0,    1572864
                3350,     379133,     379133,          0,    1572864
                3360,     380832,     380832,          0,    1572864
                3370,     382531,     382531,          0,    1572864
                3380,     384230,     384230,          0,    1572864
                3390,     385928,     385928,          0,    1572864
                3400,     387626,     387626,          0,    1572864
                3410,     389324,     389324,          0,    1572864
                3420,     391022,     391022,          0,    1572864
                3430,     392720,     392720,          0,    1572864
                3440,     394417,     394417,          0,    1572864
                3450,     396114,     396114,          0,    1572864
                3460,     397811,     397811,          0,    1572864
                3470,     399508,     399508,          0,    1572864
                3480,     401204,     401204,          0,    1572864
                3490,     402900,     402900,          0,    1572864
                3500,     404596,     404596,          0,    1572864
                3510,     406292,     406292,          0,    1572864
                3520,     407987,     407987,          0,    1572864
                3530,     409682,     409682,          0,    1572864
                3540,     411377,     411377,          0,    1572864
                3550,     413072,     413072,          0,    1572864
                3560,     414767,     414767,          0,    1572864
                3570,     416461,     416461,          0,    1572864
                3580,     418155,     418155,          0,    1572864
                3590,     419849,     419849,          0,    1572864
                3600,     421543,     421543,          0,    1572864
                3610,     423236,     423236,          0,    1572864
                3620,     424929,     424929,          0,    1572864
                3630,     426622,     426622,          0,    1572864
                3640,     428315,     428315,          0,    1572864
                3650,     430007,     430007,          0,    1572864
                3660,     431699,     431699,          0,    1572864
                3670,     433391,     433391,          0,    1572864
                3680,     435083,     435083,          0,    1572864
                3690,     436775,     436775,          0,    1572864
                3700,     438466,     438466,          0,    1572864
                3710,     440157,     440157,          0,    1572864
                3720,     441848,     441848,          0,    1572864
                3730,     443539,     443539,          0,    1572864
                3740,     445229,     445229,          0,    1572864
                3750,     446919,     446919,          0,    1572864
                3760,     448609,     448609,          0,    1572864
                3770,     450299,     450299,          0,    1572864
                3780,     451989,     451989,          0,    1572864
                3790,     453678,     453678,          0,    1572864
                3800,     455367,     455367,          0,    1572864
                3810,     457056,     457056,          0,    1572864
                3820,     458745,     458745,          0,    1572864
                3830,     460433,     460433,          0,    1572864
                3840,     462121,     462121,          0,    1572864
                3850,     463809,     463809,          0,    1572864
                3860,     465497,     465497,          0,    1572864
                3870,     467184,     467184,          0,    1572864
